日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,37.05,38.35,38.35,36.25,91.56M,-0.80%
2020年3月26日,37.35,38.50,38.53,37.35,98.62M,-4.11%
2020年3月25日,38.95,37.18,38.95,37.15,138.86M,10.00%
2020年3月24日,35.41,35.40,35.67,33.90,100.10M,2.94%
2020年3月23日,34.40,36.13,36.80,34.40,131.91M,-9.99%
2020年3月20日,38.22,37.83,38.60,37.00,105.94M,2.80%
2020年3月19日,37.18,37.20,38.08,35.63,122.37M,-0.64%
2020年3月18日,37.42,38.10,39.77,37.20,96.94M,-0.64%
2020年3月17日,37.66,39.20,39.95,35.55,127.68M,-2.59%
2020年3月16日,38.66,42.70,42.78,38.66,140.25M,-10.01%
2020年3月13日,42.96,40.15,44.44,40.11,84.72M,-0.62%
2020年3月12日,43.23,42.41,44.08,42.15,65.16M,-1.68%
2020年3月11日,43.97,45.69,45.85,43.97,73.40M,-2.66%
2020年3月10日,45.17,42.13,45.59,42.13,113.80M,6.33%
2020年3月9日,42.48,44.25,44.91,42.25,102.18M,-6.76%
2020年3月6日,45.56,44.80,46.34,44.37,68.58M,0.18%
2020年3月5日,45.48,46.63,47.14,44.31,100.59M,-0.74%
2020年3月4日,45.82,47.80,48.36,44.70,123.32M,-4.74%
2020年3月3日,48.10,50.05,50.60,47.32,104.82M,-1.01%
2020年3月2日,48.59,48.01,49.50,46.02,132.56M,1.65%
2020年2月28日,47.80,46.76,49.40,46.60,166.88M,2.22%
2020年2月27日,46.76,47.61,48.72,46.43,75.89M,-1.79%
2020年2月26日,47.61,49.82,50.12,47.01,96.06M,-6.72%
2020年2月25日,51.04,49.47,51.48,48.45,93.69M,0.08%
2020年2月24日,51.00,50.01,51.63,49.05,77.65M,1.29%
2020年2月21日,50.35,48.90,51.33,48.68,81.72M,1.31%
2020年2月20日,49.70,46.95,50.15,46.95,116.02M,7.86%
2020年2月19日,46.08,45.15,47.52,44.85,91.20M,0.50%
2020年2月18日,45.85,46.00,46.11,44.60,90.57M,-0.67%
2020年2月17日,46.16,44.45,46.22,44.43,84.54M,4.06%
2020年2月14日,44.36,43.64,45.30,43.64,57.15M,0.59%
2020年2月13日,44.10,45.00,45.50,44.00,64.34M,-2.22%
2020年2月12日,45.10,45.00,45.44,44.36,73.28M,-0.88%
2020年2月11日,45.50,43.00,46.34,42.80,107.31M,5.28%
2020年2月10日,43.22,41.52,43.34,41.18,79.64M,1.03%
2020年2月7日,42.78,43.90,43.90,42.10,109.73M,-3.93%
2020年2月6日,44.53,44.30,45.25,43.15,83.24M,-0.18%
2020年2月5日,44.61,44.18,46.98,44.00,95.09M,0.11%
