日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,49.45,50.00,50.45,49.38,26.02M,0.92%
2020年3月26日,49.00,49.40,49.77,48.84,23.25M,-0.99%
2020年3月25日,49.49,49.50,50.16,48.86,39.01M,3.13%
2020年3月24日,47.99,47.35,48.25,46.91,41.96M,3.20%
2020年3月23日,46.50,47.50,47.98,46.30,47.70M,-5.20%
2020年3月20日,49.05,49.25,49.73,48.50,36.71M,0.93%
2020年3月19日,48.60,50.35,50.60,47.50,55.49M,-2.21%
2020年3月18日,49.70,49.70,51.89,49.58,58.61M,1.43%
2020年3月17日,49.00,49.62,51.30,48.57,47.71M,-2.20%
2020年3月16日,50.10,52.20,52.27,50.00,39.67M,-3.47%
2020年3月13日,51.90,50.87,52.96,50.07,45.21M,-2.39%
2020年3月12日,53.17,53.85,53.87,52.88,34.41M,-2.39%
2020年3月11日,54.47,55.12,55.32,54.46,19.26M,-1.54%
2020年3月10日,55.32,53.89,55.68,53.89,37.56M,2.65%
2020年3月9日,53.89,54.40,54.47,53.81,35.63M,-3.42%
2020年3月6日,55.80,55.82,56.30,55.54,28.02M,-1.31%
2020年3月5日,56.54,54.55,56.80,54.35,57.57M,4.22%
2020年3月4日,54.25,54.00,54.44,53.61,23.91M,-0.46%
2020年3月3日,54.50,54.51,55.00,53.97,26.50M,0.29%
2020年3月2日,54.34,53.05,54.75,53.05,31.89M,2.43%
2020年2月28日,53.05,53.88,54.18,52.79,33.41M,-3.39%
2020年2月27日,54.91,54.30,55.20,54.21,28.49M,1.12%
2020年2月26日,54.30,53.70,55.32,53.21,38.72M,-0.24%
2020年2月25日,54.43,54.00,54.46,53.80,31.55M,-0.87%
2020年2月24日,54.91,55.36,55.37,54.45,40.78M,1.16%
2020年2月21日,54.28,54.50,54.82,54.02,29.78M,-1.06%
2020年2月20日,54.86,53.70,54.98,53.32,37.04M,2.47%
2020年2月19日,53.54,53.36,53.87,53.17,23.73M,0.02%
2020年2月18日,53.53,54.40,54.40,53.32,33.20M,-1.60%
2020年2月17日,54.40,53.34,54.42,53.24,32.51M,1.23%
2020年2月14日,53.74,53.50,53.96,53.18,21.00M,-0.11%
2020年2月13日,53.80,54.56,54.58,53.50,31.93M,-1.99%
2020年2月12日,54.89,54.57,55.36,54.02,23.43M,0.38%
2020年2月11日,54.68,53.19,54.99,52.80,49.39M,4.55%
2020年2月10日,52.30,52.30,52.78,51.72,34.60M,-1.00%
2020年2月7日,52.83,53.50,53.53,52.20,34.41M,-1.78%
2020年2月6日,53.79,52.87,53.96,52.36,39.37M,1.74%
2020年2月5日,52.87,52.92,53.47,52.45,34.90M,0.15%
2020年2月4日,52.79,50.30,52.82,50.30,40.41M,5.18%
2020年2月3日,50.19,49.59,52.59,49.59,70.51M,-8.91%
2020年1月23日,55.10,56.10,56.74,55.00,59.65M,-4.14%
2020年1月22日,57.48,57.52,57.96,56.00,41.16M,-1.07%
2020年1月21日,58.10,59.70,59.76,58.03,27.64M,-3.49%
2020年1月20日,60.20,60.80,60.96,59.83,20.19M,-0.18%
2020年1月17日,60.31,59.99,61.00,59.49,21.71M,1.09%
2020年1月16日,59.66,60.00,60.06,59.23,19.98M,0.27%
2020年1月15日,59.50,59.90,60.00,58.88,21.49M,-0.63%
2020年1月14日,59.88,60.50,60.80,59.72,16.25M,-0.38%
2020年1月13日,60.11,60.50,60.66,59.50,27.95M,0.20%
2020年1月10日,59.99,59.97,60.49,59.45,28.07M,0.91%
2020年1月9日,59.45,58.80,59.73,58.50,29.64M,2.01%
2020年1月8日,58.28,57.51,58.98,57.37,25.32M,0.40%
2020年1月7日,58.05,57.40,58.21,57.20,22.53M,1.49%
2020年1月6日,57.20,57.80,58.20,56.00,28.84M,-1.82%
2020年1月3日,58.26,59.90,59.96,58.18,27.00M,-2.49%
2020年1月2日,59.75,58.66,59.89,58.41,34.62M,2.58%
2019年12月31日,58.25,58.17,58.40,57.91,15.98M,0.03%
2019年12月30日,58.23,57.00,58.60,56.65,23.80M,1.80%
2019年12月27日,57.20,57.80,58.13,57.16,18.16M,-0.69%
2019年12月26日,57.60,57.40,57.73,57.16,14.26M,0.70%
2019年12月25日,57.20,57.20,57.75,57.00,16.23M,0.21%
