日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,39.76,41.71,41.89,39.52,35.04M,-2.62%
2020年3月26日,40.83,41.56,41.88,40.67,42.60M,-3.59%
2020年3月25日,42.35,40.60,42.56,40.29,64.63M,8.28%
2020年3月24日,39.11,37.48,39.80,36.80,62.30M,7.50%
2020年3月23日,36.38,38.86,38.86,36.33,49.24M,-9.88%
2020年3月20日,40.37,42.00,42.57,39.02,41.22M,-0.59%
2020年3月19日,40.61,41.50,41.80,38.60,51.23M,-1.07%
2020年3月18日,41.05,42.02,44.09,40.88,50.12M,-1.01%
2020年3月17日,41.47,43.00,44.38,39.80,62.69M,-4.00%
2020年3月16日,43.20,48.00,48.01,43.20,51.69M,-10.00%
2020年3月13日,48.00,46.76,49.00,46.02,39.02M,-3.48%
2020年3月12日,49.73,49.39,50.10,47.84,37.53M,-2.62%
2020年3月11日,51.07,52.50,53.38,51.00,36.05M,-2.37%
2020年3月10日,52.31,50.00,52.48,48.51,47.13M,4.31%
2020年3月9日,50.15,52.40,53.87,49.65,51.22M,-7.47%
2020年3月6日,54.20,52.25,56.50,52.12,43.37M,0.28%
2020年3月5日,54.05,55.50,55.88,52.90,40.75M,-1.87%
2020年3月4日,55.08,54.65,55.84,53.22,37.23M,0.60%
2020年3月3日,54.75,55.04,57.75,54.16,53.75M,2.72%
2020年3月2日,53.30,53.18,54.69,51.15,54.56M,2.54%
2020年2月28日,51.98,53.41,55.10,51.00,67.33M,-8.05%
2020年2月27日,56.53,60.50,60.50,56.00,55.88M,-4.30%
2020年2月26日,59.07,61.18,63.21,57.90,97.35M,-2.35%
2020年2月25日,60.49,53.96,60.49,53.77,82.55M,10.00%
2020年2月24日,54.99,56.50,56.86,52.00,93.84M,-4.66%
2020年2月21日,57.68,58.39,59.28,57.40,60.94M,-2.02%
2020年2月20日,58.87,59.60,59.99,57.00,58.02M,0.93%
2020年2月19日,58.33,61.50,62.66,57.95,67.99M,-3.14%
2020年2月18日,60.22,61.80,63.00,57.50,74.21M,-2.87%
2020年2月17日,62.00,57.77,62.01,57.71,63.47M,7.30%
2020年2月14日,57.78,60.86,62.36,57.45,77.20M,-2.87%
2020年2月13日,59.49,61.36,64.26,58.42,98.13M,1.80%
