日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,24.01,24.79,24.98,24.00,8.39M,-2.08%
2020年3月26日,24.52,24.55,25.15,24.24,8.80M,-0.65%
2020年3月25日,24.68,24.72,24.92,24.29,9.62M,2.24%
2020年3月24日,24.14,23.85,24.26,23.23,10.24M,3.38%
2020年3月23日,23.35,24.00,24.52,23.02,12.95M,-6.79%
2020年3月20日,25.05,25.40,25.64,24.53,10.75M,0.08%
2020年3月19日,25.03,24.61,25.28,24.10,14.16M,3.64%
2020年3月18日,24.15,24.29,25.30,24.14,14.36M,0.17%
2020年3月17日,24.11,24.12,24.42,23.21,13.64M,2.46%
2020年3月16日,23.53,25.25,25.43,23.16,15.77M,-6.63%
2020年3月13日,25.20,24.00,25.71,23.61,15.56M,-0.16%
2020年3月12日,25.24,24.99,25.60,24.81,11.70M,-1.79%
2020年3月11日,25.70,26.35,27.21,25.66,18.01M,-2.39%
2020年3月10日,26.33,25.55,26.35,24.93,18.15M,5.11%
2020年3月9日,25.05,26.01,26.47,24.98,19.81M,-6.77%
2020年3月6日,26.87,26.90,27.60,26.65,18.82M,-3.07%
2020年3月5日,27.72,28.80,28.97,27.27,19.33M,-1.84%
2020年3月4日,28.24,27.75,28.90,27.27,19.29M,0.53%
2020年3月3日,28.09,29.10,29.95,27.93,25.71M,-0.99%
2020年3月2日,28.37,27.89,28.88,27.28,20.19M,4.76%
2020年2月28日,27.08,27.01,28.16,26.90,24.63M,-6.30%
2020年2月27日,28.90,28.08,29.70,27.22,28.94M,3.70%
2020年2月26日,27.87,28.97,29.32,27.20,31.27M,-7.22%
2020年2月25日,30.04,30.10,30.75,28.10,41.08M,-3.63%
2020年2月24日,31.17,30.40,31.68,29.80,40.26M,0.55%
2020年2月21日,31.00,30.00,32.42,29.70,42.49M,5.19%
2020年2月20日,29.47,27.07,29.47,26.99,24.48M,10.00%
2020年2月19日,26.79,27.49,27.70,26.73,21.29M,-3.98%
2020年2月18日,27.90,27.82,28.10,27.18,26.61M,1.45%
2020年2月17日,27.50,26.24,27.68,26.11,30.55M,5.61%
2020年2月14日,26.04,24.79,26.75,24.66,30.36M,4.33%
2020年2月13日,24.96,25.50,25.59,24.66,20.03M,-2.00%
2020年2月12日,25.47,24.78,25.47,24.46,23.75M,2.95%
2020年2月11日,24.74,25.18,25.35,24.63,12.68M,-2.41%
2020年2月10日,25.35,25.71,27.00,24.88,22.83M,-1.82%
2020年2月7日,25.82,25.25,25.95,24.78,21.63M,1.14%
2020年2月6日,25.53,24.47,25.57,24.21,20.04M,5.19%
2020年2月5日,24.27,24.00,25.24,23.76,20.73M,2.36%
2020年2月4日,23.71,22.60,24.08,22.60,20.33M,5.94%
2020年2月3日,22.38,22.38,23.40,22.38,23.32M,-10.01%
2020年1月23日,24.87,25.85,26.19,24.26,22.12M,-6.15%
2020年1月22日,26.50,25.33,26.67,25.18,18.17M,1.81%
2020年1月21日,26.03,26.20,27.11,25.95,16.27M,-1.44%
2020年1月20日,26.41,26.50,26.78,25.60,21.91M,-1.89%
2020年1月17日,26.92,26.90,27.05,26.25,26.95M,-1.28%
2020年1月16日,27.27,25.75,27.77,25.59,38.03M,5.90%
2020年1月15日,25.75,25.48,26.13,24.93,22.04M,1.02%
2020年1月14日,25.49,27.01,27.30,25.23,28.79M,-1.96%
2020年1月13日,26.00,25.42,26.52,25.42,32.17M,1.17%
2020年1月10日,25.70,26.25,26.73,25.29,29.53M,-1.34%
2020年1月9日,26.05,25.72,27.74,24.99,42.83M,1.68%
2020年1月8日,25.62,24.48,26.58,24.31,51.43M,6.04%
2020年1月7日,24.16,23.99,25.01,23.70,50.96M,5.92%
2020年1月6日,22.81,22.81,22.81,22.81,3.43M,9.98%
2020年1月3日,20.74,20.61,20.95,20.43,10.11M,0.53%
2020年1月2日,20.63,20.00,20.85,19.94,11.92M,3.51%
2019年12月31日,19.93,19.82,20.14,19.75,6.63M,-0.20%
2019年12月30日,19.97,19.30,20.17,19.29,10.67M,2.41%
2019年12月27日,19.50,20.28,20.48,19.50,11.23M,-3.94%
2019年12月26日,20.30,20.36,20.55,20.02,7.34M,-0.39%
2019年12月25日,20.38,19.85,20.48,19.82,9.25M,2.05%
2019年12月24日,19.97,19.96,20.12,19.77,6.52M,0.81%
2019年12月23日,19.81,20.42,20.42,19.73,11.53M,-3.83%
2019年12月20日,20.60,20.61,20.80,20.29,8.96M,-0.24%
2019年12月19日,20.65,20.65,20.92,20.51,8.33M,-0.10%
2019年12月18日,20.67,20.76,21.18,20.51,11.30M,-0.96%
2019年12月17日,20.87,20.66,21.06,20.50,17.21M,0.38%
2019年12月16日,20.79,19.81,20.88,19.73,21.73M,4.84%
2019年12月13日,19.83,20.15,20.21,19.56,15.24M,-1.05%
2019年12月12日,20.04,19.90,20.33,19.68,13.65M,1.47%
2019年12月11日,19.75,19.95,20.18,19.62,12.14M,-1.25%
2019年12月10日,20.00,19.60,20.34,19.40,19.45M,2.41%
2019年12月9日,19.53,19.45,19.86,19.18,13.45M,1.19%
2019年12月6日,19.30,18.91,19.45,18.84,12.00M,1.42%
2019年12月5日,19.03,18.69,19.08,18.65,10.51M,2.31%
2019年12月4日,18.60,18.58,18.99,18.44,7.04M,-0.85%
2019年12月3日,18.76,18.28,18.76,18.21,5.81M,1.96%
2019年12月2日,18.40,18.24,18.77,18.24,7.18M,0.88%
2019年11月29日,18.24,18.20,18.39,17.95,4.70M,-0.05%
2019年11月28日,18.25,17.81,18.45,17.81,8.06M,2.18%
2019年11月27日,17.86,17.71,18.07,17.66,5.32M,0.68%
2019年11月26日,17.74,18.10,18.20,17.70,8.53M,-1.99%
2019年11月25日,18.10,18.91,19.05,17.99,12.55M,-4.23%
2019年11月22日,18.90,19.38,19.76,18.61,14.07M,-1.56%
2019年11月21日,19.20,19.58,19.59,18.92,9.35M,-0.88%
2019年11月20日,19.37,19.18,19.56,19.18,15.98M,0.26%
2019年11月19日,19.32,18.08,19.45,18.05,20.01M,6.86%
2019年11月18日,18.08,18.21,18.32,17.90,10.40M,-2.01%
2019年11月15日,18.45,18.91,18.94,18.40,10.43M,-3.20%
2019年11月14日,19.06,18.76,19.15,18.62,11.26M,0.74%
2019年11月13日,18.92,18.40,18.98,17.97,11.09M,2.27%
2019年11月12日,18.50,18.79,18.79,17.93,9.84M,-1.80%
2019年11月11日,18.84,18.24,18.89,18.08,13.66M,1.95%
2019年11月8日,18.48,18.44,18.76,18.29,7.79M,0.76%
2019年11月7日,18.34,18.11,18.38,17.98,4.35M,1.72%
2019年11月6日,18.03,18.30,18.51,17.97,5.91M,-1.21%
2019年11月5日,18.25,18.34,18.45,17.88,8.85M,-0.54%
2019年11月4日,18.35,18.69,18.90,18.32,7.59M,-1.34%
2019年11月1日,18.60,18.35,18.68,18.24,6.57M,0.43%
2019年10月31日,18.52,18.63,18.99,18.45,8.04M,-0.54%
2019年10月30日,18.62,18.55,18.88,18.36,8.39M,-0.43%
2019年10月29日,18.70,19.45,19.48,18.70,19.00M,-4.98%
2019年10月28日,19.68,19.18,19.86,18.71,22.18M,4.68%
2019年10月25日,18.80,18.68,18.97,18.53,8.34M,0.59%
2019年10月24日,18.69,19.20,19.24,18.40,13.10M,-1.22%
2019年10月23日,18.92,18.82,19.24,18.79,13.98M,-0.47%
2019年10月22日,19.01,18.08,19.08,18.00,23.50M,5.67%
2019年10月21日,17.99,17.45,18.15,17.32,15.97M,3.81%
2019年10月18日,17.33,17.83,17.92,17.33,5.26M,-2.70%
2019年10月17日,17.81,17.60,17.97,17.50,6.28M,1.19%
2019年10月16日,17.60,17.70,17.75,17.45,5.20M,0.17%
2019年10月15日,17.57,18.09,18.10,17.56,8.03M,-2.06%
2019年10月14日,17.94,18.00,18.14,17.84,6.52M,0.90%
2019年10月11日,17.78,17.73,17.91,17.42,7.31M,0.45%
2019年10月10日,17.70,17.48,17.81,17.42,7.50M,1.20%
2019年10月9日,17.49,17.00,17.69,16.93,8.70M,2.40%
2019年10月8日,17.08,17.40,17.73,17.04,6.79M,-0.93%
2019年9月30日,17.24,17.96,17.96,17.22,10.46M,-4.17%
2019年9月27日,17.99,17.78,18.18,17.57,11.98M,0.78%
2019年9月26日,17.85,18.70,18.72,17.67,16.07M,-3.15%
2019年9月25日,18.43,18.56,19.18,18.22,22.02M,-1.34%
2019年9月24日,18.68,19.21,19.26,18.65,18.06M,-1.99%
2019年9月23日,19.06,19.15,19.58,18.75,18.53M,-0.73%
2019年9月20日,19.20,18.88,19.43,18.70,29.45M,3.06%
2019年9月19日,18.63,17.92,18.88,17.71,26.05M,5.43%
