日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,16.91,16.90,16.97,16.78,19.26M,0.48%
2020年3月26日,16.83,16.89,17.01,16.73,22.87M,-1.17%
2020年3月25日,17.03,17.10,17.14,16.84,25.51M,0.71%
2020年3月24日,16.91,16.64,16.99,16.60,39.79M,2.36%
2020年3月23日,16.52,16.17,16.65,16.06,23.15M,0.18%
2020年3月20日,16.49,16.52,16.71,16.30,25.71M,0.79%
2020年3月19日,16.36,16.65,16.78,16.19,37.50M,-2.15%
2020年3月18日,16.72,16.88,16.99,16.70,39.96M,-1.24%
2020年3月17日,16.93,16.86,17.25,16.86,35.66M,0.06%
2020年3月16日,16.92,17.07,17.14,16.88,32.31M,-0.47%
2020年3月13日,17.00,17.06,17.30,16.96,46.35M,-2.58%
2020年3月12日,17.45,17.51,17.59,17.31,24.38M,-0.80%
2020年3月11日,17.59,17.76,17.78,17.52,17.66M,-0.28%
2020年3月10日,17.64,17.27,17.76,17.27,42.18M,1.09%
2020年3月9日,17.45,17.20,17.62,17.02,36.88M,-0.17%
2020年3月6日,17.48,17.60,17.72,17.43,20.38M,-1.35%
2020年3月5日,17.72,17.64,17.75,17.58,26.79M,0.74%
2020年3月4日,17.59,17.65,17.75,17.54,24.05M,0.11%
2020年3月3日,17.57,17.32,17.68,17.32,23.41M,1.80%
2020年3月2日,17.26,17.05,17.41,17.05,29.04M,1.35%
2020年2月28日,17.03,17.08,17.24,16.90,27.40M,-1.16%
2020年2月27日,17.23,17.01,17.25,16.95,18.55M,1.35%
2020年2月26日,17.00,17.05,17.14,16.99,32.04M,-1.05%
2020年2月25日,17.18,17.34,17.46,17.18,19.21M,-1.32%
2020年2月24日,17.41,17.49,17.53,17.38,17.17M,-0.68%
2020年2月21日,17.53,17.56,17.61,17.45,18.20M,-0.51%
2020年2月20日,17.62,17.50,17.66,17.45,14.52M,0.57%
2020年2月19日,17.52,17.51,17.59,17.46,13.89M,0.00%
2020年2月18日,17.52,17.62,17.67,17.51,12.60M,-0.96%
2020年2月17日,17.69,17.60,17.71,17.55,14.49M,0.40%
2020年2月14日,17.62,17.52,17.64,17.46,9.86M,0.11%
2020年2月13日,17.60,17.51,17.64,17.45,12.35M,0.11%
2020年2月12日,17.58,17.58,17.59,17.39,15.67M,-0.11%
2020年2月11日,17.60,17.66,17.83,17.57,13.08M,-0.17%
2020年2月10日,17.63,17.68,17.83,17.59,15.77M,-1.45%
2020年2月7日,17.89,17.20,17.95,17.20,23.70M,2.58%
2020年2月6日,17.44,17.45,17.45,17.23,19.29M,0.75%
2020年2月5日,17.31,17.26,17.45,17.15,23.12M,0.00%
2020年2月4日,17.31,16.99,17.80,16.88,31.54M,1.05%
2020年2月3日,17.13,16.40,17.17,16.01,71.86M,-0.12%
2020年1月23日,17.15,17.49,17.57,17.09,35.24M,-2.56%
2020年1月22日,17.60,17.78,17.78,17.51,23.81M,-1.07%
2020年1月21日,17.79,17.76,17.86,17.71,16.38M,-0.45%
2020年1月20日,17.87,17.79,17.94,17.63,24.81M,0.73%
2020年1月17日,17.74,17.90,18.01,17.69,38.76M,-1.55%
2020年1月16日,18.02,18.02,18.08,17.95,14.82M,0.06%
2020年1月15日,18.01,18.14,18.22,17.98,21.08M,-0.94%
2020年1月14日,18.18,18.11,18.21,18.06,24.43M,0.61%
2020年1月13日,18.07,18.04,18.14,17.99,22.60M,0.39%
2020年1月10日,18.00,18.07,18.12,17.98,21.79M,-0.50%
2020年1月9日,18.09,18.12,18.13,17.97,22.78M,0.22%
2020年1月8日,18.05,18.08,18.17,17.99,26.44M,-0.77%
