日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,30.20,32.30,32.30,29.85,2.94M,-4.28%
2020年3月26日,31.55,31.35,32.60,31.15,2.73M,-1.41%
2020年3月25日,32.00,32.00,32.45,30.05,4.62M,4.23%
2020年3月24日,30.70,31.20,31.55,30.40,2.95M,1.32%
2020年3月23日,30.30,29.10,31.20,28.70,5.03M,0.17%
2020年3月20日,30.25,29.80,31.25,29.40,4.08M,4.31%
2020年3月19日,29.00,29.10,30.50,28.50,12.88M,-1.69%
2020年3月18日,29.50,29.05,31.90,28.40,13.84M,6.31%
2020年3月17日,27.75,26.45,28.30,25.95,5.22M,3.74%
2020年3月16日,26.75,27.60,28.15,26.25,4.36M,-4.97%
2020年3月13日,28.15,26.20,28.50,26.20,6.97M,-2.43%
2020年3月12日,28.85,30.00,30.30,28.60,4.35M,-5.10%
2020年3月11日,30.40,32.25,32.25,30.00,5.11M,-4.40%
2020年3月10日,31.80,31.30,32.50,30.75,4.57M,0.95%
2020年3月9日,31.50,33.00,33.45,31.25,4.66M,-8.70%
2020年3月6日,34.50,34.40,34.80,33.85,2.45M,-1.29%
2020年3月5日,34.95,34.35,34.95,33.70,2.95M,3.25%
2020年3月4日,33.85,35.05,35.05,33.70,3.23M,-3.84%
2020年3月3日,35.20,35.70,36.30,34.95,3.18M,0.14%
2020年3月2日,35.15,35.50,36.10,34.75,3.54M,-0.28%
2020年2月28日,35.25,36.35,36.95,35.10,3.94M,-6.50%
2020年2月27日,37.70,36.55,37.75,36.30,3.16M,4.00%
2020年2月26日,36.25,35.80,37.25,35.40,2.26M,-0.14%
2020年2月25日,36.30,36.30,36.80,35.80,2.89M,-0.82%
2020年2月24日,36.60,37.25,38.05,36.50,2.62M,-3.30%
2020年2月21日,37.85,38.60,39.05,37.80,2.41M,-2.20%
2020年2月20日,38.70,39.50,39.60,38.25,2.24M,-1.40%
2020年2月19日,39.25,38.15,39.75,38.10,4.40M,2.35%
2020年2月18日,38.35,38.50,38.80,37.40,2.88M,-0.65%
2020年2月17日,38.60,35.65,38.75,35.65,6.39M,8.27%
2020年2月14日,35.65,35.60,36.10,35.10,1.47M,-0.42%
2020年2月13日,35.80,36.35,36.60,35.40,2.24M,-1.51%
2020年2月12日,36.35,35.00,36.90,34.65,3.54M,3.12%
2020年2月11日,35.25,35.25,35.85,34.80,2.19M,0.28%
2020年2月10日,35.15,34.50,35.25,34.35,2.03M,-0.42%
2020年2月7日,35.30,35.35,35.95,34.35,3.32M,-1.26%
2020年2月6日,35.75,35.15,36.00,35.00,2.85M,2.44%
2020年2月5日,34.90,35.70,35.80,34.30,4.15M,0.14%
2020年2月4日,34.85,32.70,35.20,32.70,5.12M,6.57%
2020年2月3日,32.70,31.55,33.15,30.75,5.31M,0.46%
2020年1月31日,32.55,32.20,33.10,32.00,2.15M,1.72%
2020年1月30日,32.00,33.00,33.70,31.70,3.34M,-3.18%
2020年1月29日,33.05,32.45,33.80,32.10,3.06M,-3.36%
2020年1月24日,34.20,34.05,34.65,33.55,1.23M,0.29%
2020年1月23日,34.10,35.10,35.45,33.55,3.82M,-3.40%
2020年1月22日,35.30,36.10,36.10,34.80,5.43M,-1.12%
2020年1月21日,35.70,36.75,36.90,35.40,5.05M,-2.86%
2020年1月20日,36.75,36.50,38.00,36.50,4.86M,-0.41%
2020年1月17日,36.90,38.20,38.30,36.60,5.96M,-2.77%
2020年1月16日,37.95,38.05,38.35,37.40,5.45M,-0.13%
2020年1月15日,38.00,37.70,38.60,37.35,9.55M,1.06%
2020年1月14日,37.60,39.15,39.50,36.80,63.14M,-8.96%
2020年1月13日,41.30,41.00,41.65,40.40,3.64M,1.10%
2020年1月10日,40.85,40.35,42.00,39.90,6.41M,2.12%
2020年1月9日,40.00,37.60,40.20,37.35,8.49M,7.82%
2020年1月8日,37.10,36.90,38.25,36.00,5.50M,0.27%
2020年1月7日,37.00,37.20,38.35,36.50,4.92M,-0.54%
2020年1月6日,37.20,35.30,37.65,34.85,9.79M,5.23%
2020年1月3日,35.35,34.60,35.60,34.05,8.02M,3.21%
2020年1月2日,34.25,32.50,34.30,32.50,5.09M,5.38%
2019年12月31日,32.50,31.90,32.60,31.85,549.68K,0.93%
2019年12月30日,32.20,32.80,32.80,32.15,1.22M,-1.83%
2019年12月27日,32.80,32.40,33.10,32.10,1.33M,1.23%
2019年12月24日,32.40,33.05,33.05,32.20,1.12M,-1.97%
2019年12月23日,33.05,33.65,34.15,32.90,1.53M,-1.93%
2019年12月20日,33.70,33.10,34.30,33.10,3.19M,1.97%
2019年12月19日,33.05,32.70,33.25,32.15,1.24M,0.15%
2019年12月18日,33.00,33.15,33.95,32.85,2.15M,-0.15%
2019年12月17日,33.05,32.50,34.00,32.20,4.47M,2.16%
2019年12月16日,32.35,31.05,32.60,31.05,3.14M,2.86%
2019年12月13日,31.45,32.25,32.40,31.20,3.00M,-1.10%
2019年12月12日,31.80,30.50,32.10,30.35,2.22M,4.61%
2019年12月11日,30.40,30.20,30.75,30.20,757.89K,0.33%
2019年12月10日,30.30,30.00,30.60,30.00,908.52K,-0.16%
2019年12月9日,30.35,29.80,30.50,29.80,1.05M,2.53%
2019年12月6日,29.60,29.00,29.85,29.00,1.09M,2.07%
2019年12月5日,29.00,29.35,30.00,28.70,1.81M,-0.85%
2019年12月4日,29.25,29.65,30.25,29.10,1.26M,-2.82%
2019年12月3日,30.10,30.00,30.20,29.45,1.46M,0.17%
2019年12月2日,30.05,30.40,30.90,29.85,1.39M,0.00%
2019年11月29日,30.05,30.30,30.60,29.60,1.63M,-0.50%
2019年11月28日,30.20,30.65,30.80,30.00,2.19M,-2.11%
2019年11月27日,30.85,30.90,31.35,30.70,1.12M,-0.32%
2019年11月26日,30.95,31.80,32.05,30.95,2.39M,-1.43%
2019年11月25日,31.40,32.00,32.30,31.20,1.10M,-1.26%
2019年11月22日,31.80,31.90,32.60,31.30,775.47K,0.16%
2019年11月21日,31.75,31.75,32.20,31.20,1.46M,-1.70%
